Domain Decomp info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of domains:,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Domain mesh:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of processors:,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processors per domain:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
 Maximum buffer size:,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of particles run:,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 x,phi,phisd,J,Jsd ,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1935591463,1951327415,1947434413,1954928760,1953232293,1947429245,1965503783,1950097906,1971097137,1951167977,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999,1012999999
0.1,2012939395,2027999998,2022999998,2029999998,2029999998,2022999998,2041999998,2026999998,2047999998,2026999998,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999,1039999999
0.2,1999372605,2012999998,2007999998,2014999998,2014999998,2007999998,2026999998,2011999998,2032999998,2011999998,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999,1024999999
0.3,1977418814,1991999998,1986999998,1993999998,1993999998,1986999998,2005999998,1990999998,2011999998,1990999998,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999,1003999999
