Domain Decomp info:
 Number of domains:,1
 Domain mesh:
-10000000000.0,10000000000.0,
Number of processors:,1
Processors per domain:
1,
 Maximum buffer size:,0

 Number of particles run:,10

 x,phi,phisd,J,Jsd 
0.0,0.9999999989999999,6.2088171641031896e-09,0.9999999989999999,6.2088171641031896e-09
0.1,0.9999999989999999,6.2088171641031896e-09,0.9999999989999999,6.2088171641031896e-09
0.2,0.9999999990000004,nan,0.9999999990000004,nan
0.30000000000000004,0.9999999989999997,0.0,0.9999999989999997,0.0
0.4,0.9999999989999997,0.0,0.9999999989999997,0.0
0.5,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
0.6000000000000001,0.9999999989999997,0.0,0.9999999989999997,0.0
0.7000000000000001,0.9999999989999997,0.0,0.9999999989999997,0.0
0.8,0.9999999989999997,0.0,0.9999999989999997,0.0
0.9,0.9999999989999997,0.0,0.9999999989999997,0.0
1.0,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.1,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.2000000000000002,0.9999999989999986,4.390296719884794e-09,0.9999999989999986,4.390296719884794e-09
1.3,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.4000000000000001,0.9999999989999986,4.390296719884794e-09,0.9999999989999986,4.390296719884794e-09
1.5,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.6,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.7000000000000002,0.9999999989999986,4.390296719884794e-09,0.9999999989999986,4.390296719884794e-09
1.8,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
1.9000000000000001,0.9999999989999986,4.390296719884794e-09,0.9999999989999986,4.390296719884794e-09
2.0,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.1,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.2,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.3000000000000003,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.4000000000000004,0.9999999989999964,nan,0.9999999989999964,nan
2.5,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.6,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.7,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.8000000000000003,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
2.9000000000000004,0.9999999989999964,nan,0.9999999989999964,nan
3.0,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.1,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.2,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.3000000000000003,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.4000000000000004,0.9999999989999964,nan,0.9999999989999964,nan
3.5,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.6,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.7,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.8000000000000003,0.9999999990000008,4.390296719884794e-09,0.9999999990000008,4.390296719884794e-09
3.9000000000000004,0.9999999989999964,nan,0.9999999989999964,nan
4.0,0.9999999990000052,0.0,0.9999999990000052,0.0
4.1000000000000005,0.9999999989999964,nan,0.9999999989999964,nan
4.2,0.9999999989999964,nan,0.9999999989999964,nan
4.3,0.9999999990000052,0.0,0.9999999990000052,0.0
4.4,0.9999999989999964,nan,0.9999999989999964,nan
4.5,0.9999999990000052,0.0,0.9999999990000052,0.0
4.6000000000000005,0.9999999989999964,nan,0.9999999989999964,nan
4.7,0.9999999990000052,0.0,0.9999999990000052,0.0
4.800000000000001,0.9999999989999964,nan,0.9999999989999964,nan
4.9,0.9999999989999964,nan,0.9999999989999964,nan
